est_cod;linea;via;lon;lat;est_name
SP;L1;1;-70.72321776;-33.44528076;San Pablo
NP;L1;1;-70.72273641;-33.45143104;Neptuno
PJ;L1;1;-70.71546859;-33.45753234;Pajaritos
LR;L1;1;-70.7067662;-33.45763931;Las Rejas
EC;L1;1;-70.69973322;-33.45602645;Ecuador
AH;L1;1;-70.69159451;-33.45413569;San Alberto Hurtado
US;L1;1;-70.68657015;-33.45296047;Universidad de Santiago
EL;L1;1;-70.67857526;-33.45084688;Estacion Central
LA;L1;1;-70.67336207;-33.44947712;Union Latinoamericana
RP;L1;1;-70.66713707;-33.44781573;Republica
LH;L1;1;-70.66068672;-33.44634977;Los Heroes
LM;L1;1;-70.6552971;-33.4450661;La Moneda
CH;L1;1;-70.65029046;-33.44386151;Universidad de Chile
SL;L1;1;-70.64475234;-33.44253647;Santa Lucia
UC;L1;1;-70.63996372;-33.43983466;Universidad Catolica
BA;L1;1;-70.63448625;-33.43729702;Baquedano
SA;L1;1;-70.62610772;-33.4328178;Salvador
MM;L1;1;-70.61956794;-33.42863549;Manuel Montt
PV;L1;1;-70.6138333;-33.42558709;Pedro de Valdivia
LE;L1;1;-70.60851204;-33.42217854;Los Leones
TB;L1;1;-70.60207413;-33.41852144;Tobalaba
GO;L1;1;-70.59571062;-33.4167169;El Golf
AL;L1;1;-70.58970795;-33.41545438;Alcantara
EM;L1;1;-70.58335179;-33.41385214;Escuela Militar
MQ;L1;1;-70.56861682;-33.40923904;Manquehue
HM;L1;1;-70.55582738;-33.40802118;Hernando de Magallanes
LD;L1;1;-70.54487946;-33.40797314;Los Dominicos
SP;L1;2;-70.72300267;-33.44528375;San Pablo
NP;L1;2;-70.72252131;-33.45143403;Neptuno
PJ;L1;2;-70.71546504;-33.45735203;Pajaritos
LR;L1;2;-70.70676266;-33.45745899;Las Rejas
EC;L1;2;-70.6997297;-33.45584614;Ecuador
AH;L1;2;-70.69159101;-33.45395538;San Alberto Hurtado
US;L1;2;-70.68656666;-33.45278016;Universidad de Santiago
EL;L1;2;-70.67857178;-33.45066657;Estacion Central
LA;L1;2;-70.67335861;-33.4492968;Union Latinoamericana
RP;L1;2;-70.66713362;-33.44763541;Republica
LH;L1;2;-70.66068329;-33.44616945;Los Heroes
LM;L1;2;-70.65529368;-33.44488578;La Moneda
CH;L1;2;-70.65028704;-33.44368119;Universidad de Chile
SL;L1;2;-70.64474894;-33.44235615;Santa Lucia
UC;L1;2;-70.63996033;-33.43965434;Universidad Catolica
BA;L1;2;-70.63448287;-33.4371167;Baquedano
SA;L1;2;-70.62610436;-33.43263748;Salvador
MM;L1;2;-70.61956459;-33.42845516;Manuel Montt
