,Station,Station Latitude,Station Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,San Pablo,-33.44528076,-70.72321776,Zen Sushi Ya,-33.4444101880606,-70.7248938320446,Sushi Restaurant
1,San Pablo,-33.44528076,-70.72321776,Ahí Sushi,-33.443676481440846,-70.72328568949962,Sushi Restaurant
2,San Pablo,-33.44528076,-70.72321776,Spacio1,-33.444496331045855,-70.72393102070416,Convenience Store
3,San Pablo,-33.44528076,-70.72321776,Pollos Asados A Las Brasas Las Cañas,-33.44395868301722,-70.72340120234253,Wings Joint
4,San Pablo,-33.44528076,-70.72321776,China Popular,-33.4443547795419,-70.7245793170019,Chinese Restaurant
5,San Pablo,-33.44528076,-70.72321776,Ok Club Pub,-33.444342663303296,-70.72738409042358,Nightclub
6,San Pablo,-33.44528076,-70.72321776,Farmacias Cruz Verde,-33.44471258430147,-70.72372644501885,Pharmacy
7,San Pablo,-33.44528076,-70.72321776,Salcobrand,-33.444200260488714,-70.72297279999998,Pharmacy
8,San Pablo,-33.44528076,-70.72321776,Woldos Sushi,-33.444144401875114,-70.72534103925355,Sushi Restaurant
9,San Pablo,-33.44528076,-70.72321776,San Camilo,-33.44428139402935,-70.72283332327422,Bakery
10,San Pablo,-33.44528076,-70.72321776,Feria Libre,-33.447558541356926,-70.72248936006652,Farmers Market
11,San Pablo,-33.44528076,-70.72321776,Juguetina Neptuno,-33.44839821049881,-70.72248936006652,Garden Center
12,San Pablo,-33.44528076,-70.72321776,El Viejo Cochino,-33.44820451562765,-70.72552108359004,Food Truck
13,Neptuno,-33.45143104,-70.72273641,Plaza Netpuno,-33.4521805150408,-70.72246612839305,Park
14,Neptuno,-33.45143104,-70.72273641,"Paradero PJ 686, Transantiago",-33.4512295329039,-70.72304808146289,Bus Station
15,Neptuno,-33.45143104,-70.72273641,El Viejo Cochino,-33.44820451562765,-70.72552108359004,Food Truck
16,Neptuno,-33.45143104,-70.72273641,Mc Pepe,-33.44759796324562,-70.7254281574895,Food Court
17,Pajaritos,-33.45753234,-70.71546859,Mundo Rural,-33.45753275744009,-70.715242952693,Health Food Store
18,Pajaritos,-33.45753234,-70.71546859,Dunkin',-33.457528881946324,-70.71537597420502,Donut Shop
19,Pajaritos,-33.45753234,-70.71546859,Farmacias Cruz Verde,-33.45763591749994,-70.71247100830078,Pharmacy
20,Pajaritos,-33.45753234,-70.71546859,Kentucky Fried Chicken,-33.457599,-70.715852,Fast Food Restaurant
21,Pajaritos,-33.45753234,-70.71546859,Dolce Mondo,-33.457497,-70.7154,Ice Cream Shop
22,Pajaritos,-33.45753234,-70.71546859,Metro Pajaritos,-33.45745448985236,-70.71587990266072,Metro Station
23,Pajaritos,-33.45753234,-70.71546859,Coffee Market,-33.457612,-70.71534,Coffee Shop
24,Pajaritos,-33.45753234,-70.71546859,Pastelería San Camilo,-33.45763799715779,-70.7157521266467,Breakfast Spot
25,Pajaritos,-33.45753234,-70.71546859,Paradero J12,-33.45745451844713,-70.71449469265323,Bus Station
26,Pajaritos,-33.45753234,-70.71546859,XS Market,-33.457568324666816,-70.71535797437899,Hot Dog Joint
27,Pajaritos,-33.45753234,-70.71546859,Estación Intermodal Pajaritos,-33.457568418780426,-70.71584953311104,Bus Station
28,Pajaritos,-33.45753234,-70.71546859,Kiosk Express,-33.457585321799336,-70.71615702712762,Dessert Shop
29,Pajaritos,-33.45753234,-70.71546859,RockPro,-33.458538544204885,-70.71337084004527,Music Store
30,Pajaritos,-33.45753234,-70.71546859,Estacion Centropuerto,-33.45801602686395,-70.71916982674698,Bus Station
31,Pajaritos,-33.45753234,-70.71546859,Recorrido I08 Transantiago,-33.45743337277488,-70.71141352961314,Moving Target
32,Pajaritos,-33.45753234,-70.71546859,Kali yoga,-33.457797064485135,-70.71964927947025,Yoga Studio
33,Pajaritos,-33.45753234,-70.71546859,Parque Alameda,-33.4606062212866,-70.71188002739956,Park
34,Pajaritos,-33.45753234,-70.71546859,Teatro Ex Mundo Magico,-33.4564439513107,-70.72052047166214,Historic Site
35,Las Rejas,-33.45763931,-70.7067662,Panaderia San Agustin,-33.45754270870776,-70.70654793855141,Bakery
36,Las Rejas,-33.45763931,-70.7067662,Donde Franco,-33.45682676700779,-70.70381894643967,Hot Dog Joint
